iter	Passed	Remaining
0	5	507
1	9	481
2	14	472
3	17	417
4	20	397
5	25	407
6	29	393
7	33	381
8	36	371
9	41	370
10	44	363
11	48	356
12	52	349
13	57	353
14	61	349
15	65	342
16	68	336
17	73	333
18	76	327
19	80	322
20	84	316
21	88	313
22	92	308
23	95	302
24	99	297
25	104	297
26	107	291
27	111	286
28	115	282
29	119	278
30	123	273
31	126	269
32	130	265
33	134	261
34	139	259
35	143	254
36	147	251
37	151	247
38	155	243
39	159	239
40	164	236
41	165	228
42	170	225
43	174	222
44	180	220
45	184	216
46	190	214
47	196	213
48	200	208
49	203	203
50	208	200
51	212	196
52	216	191
53	219	187
54	222	181
55	226	177
56	229	173
57	233	168
58	237	164
59	242	161
60	246	157
61	249	153
62	254	149
63	258	145
64	261	140
65	265	136
66	269	132
67	273	128
68	277	124
69	280	120
70	286	116
71	289	112
72	293	108
73	297	104
74	301	100
75	304	96
76	308	92
77	312	88
78	316	84
79	319	79
80	323	75
81	328	72
82	333	68
83	337	64
84	340	60
85	345	56
86	348	52
87	351	47
88	355	43
89	359	39
90	362	35
91	366	31
92	369	27
93	374	23
94	378	19
95	382	15
96	385	11
97	389	7
98	393	3
99	396	0
